0 - Tue Dec 26 15:07:06 2023 - A new data.csv file has been created.
1 - Tue Dec 26 15:07:09 2023 - Sensor node 15 has opened a new connection
2 - Tue Dec 26 15:07:10 2023 - Sensor node 15 has opened a new connection
3 - Tue Dec 26 15:07:11 2023 - Sensor node 15 has opened a new connection
4 - Tue Dec 26 15:07:11 2023 - Sensor node 21 has opened a new connection
5 - Tue Dec 26 15:07:12 2023 - Sensor node 15 has opened a new connection
6 - Tue Dec 26 15:07:13 2023 - Sensor node 15 has opened a new connection
7 - Tue Dec 26 15:07:13 2023 - Sensor node 37 has opened a new connection
8 - Tue Dec 26 15:07:14 2023 - Sensor node 15 has opened a new connection
9 - Tue Dec 26 15:07:14 2023 - Sensor node 21 has opened a new connection
10 - Tue Dec 26 15:07:15 2023 - Sensor node 15 has opened a new connection
11 - Tue Dec 26 15:07:15 2023 - Sensor node 37 has opened a new connection
12 - Tue Dec 26 15:07:16 2023 - Sensor node 15 has opened a new connection
13 - Tue Dec 26 15:07:17 2023 - Sensor node 21 has opened a new connection
14 - Tue Dec 26 15:07:17 2023 - Sensor node 37 has opened a new connection
15 - Tue Dec 26 15:07:17 2023 - Sensor node 15 has opened a new connection
16 - Tue Dec 26 15:07:18 2023 - Sensor node 15 has opened a new connection
17 - Tue Dec 26 15:07:19 2023 - Sensor node 37 has opened a new connection
18 - Tue Dec 26 15:07:19 2023 - Sensor node 15 has opened a new connection
19 - Tue Dec 26 15:07:20 2023 - Sensor node 21 has opened a new connection
20 - Tue Dec 26 15:07:20 2023 - Sensor node 15 has opened a new connection
21 - Tue Dec 26 15:07:21 2023 - Sensor node 37 has opened a new connection
22 - Tue Dec 26 15:07:21 2023 - Sensor node 15 has opened a new connection
23 - Tue Dec 26 15:07:22 2023 - Sensor node 15 has opened a new connection
24 - Tue Dec 26 15:07:23 2023 - Sensor node 21 has opened a new connection
25 - Tue Dec 26 15:07:23 2023 - Sensor node 37 has opened a new connection
26 - Tue Dec 26 15:07:23 2023 - Sensor node 15 has opened a new connection
27 - Tue Dec 26 15:07:24 2023 - The data.csv file has been closed
